ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779575152,1195,270,572,14270316,10972.80
1779575157,1200,270,572,14327431,11051.47
1779575162,1205,270,572,14383514,11314.10
1779575168,1211,270,572,14443049,11973.06
1779575173,1216,270,572,14502231,11401.10
1779575178,1221,270,572,14562007,11630.43
1779575183,1226,270,572,14621864,11728.59
1779575188,1231,270,572,14674151,10481.65
1779575193,1236,270,572,14720661,9777.46
1779575198,1241,270,572,14778257,11383.78
1779575203,1246,270,572,14845079,12351.24
1779575209,1252,270,572,14893706,10040.39
1779575214,1257,270,572,14952036,11076.80
1779575219,1262,270,572,15015757,12316.71
1779575224,1267,270,572,15068269,10585.13
1779575229,1272,270,572,15126225,11051.47
1779575234,1277,270,572,15186534,11934.88
1779575239,1282,270,572,15240652,10688.84
1779575244,1287,270,572,15297455,11083.62
1779575249,1292,270,572,15359604,11975.92
1779575254,1297,270,572,15425723,12961.46
1779575260,1303,270,572,15485408,11954.43
1779575265,1308,270,572,15544794,11799.88
1779575270,1313,270,573,15606785,12251.88
1779575275,1318,270,573,15665101,11489.76
1779575280,1323,270,573,15719603,11021.34
1779575285,1328,270,573,15766401,8497.97
1779575290,1333,270,573,15793580,7325.90
1779575295,1338,270,573,15854855,10992.84
1779575300,1343,270,574,15914209,11288.49
1779575305,1348,270,574,15950252,11739.99
1779575311,1354,270,575,16003672,10616.07
1779575316,1359,270,575,16063297,11484.68
1779575321,1364,270,575,16122509,11850.71
1779575326,1369,270,575,16180961,11756.74
1779575331,1374,270,576,16236154,11289.18
1779575336,1379,270,576,16293953,11581.81
1779575341,1384,270,576,16354143,11644.60
1779575346,1389,270,577,16415758,11934.60
1779575351,1394,270,577,16474330,11745.06
1779575356,1399,270,577,16534475,11733.10
1779575361,1404,270,577,16594341,11775.54
1779575366,1409,270,577,16654888,11935.52
1779575372,1415,270,577,16718084,12150.61
1779575377,1420,270,577,16778318,11850.48
1779575382,1425,270,577,16839314,12218.65
1779575387,1430,270,577,16900955,12001.22
1779575392,1435,270,577,16959931,11754.89
1779575397,1440,270,577,17017643,11402.53
1779575402,1445,270,577,17066421,10644.55
1779575407,1450,270,577,17125197,11291.25
1779575412,1455,270,578,17183747,11447.23
1779575417,1460,270,578,17243284,11463.75
1779575422,1465,270,578,17298895,11005.24
1779575427,1470,270,578,17355514,11258.95
1779575433,1476,270,578,17411484,10980.23
1779575438,1481,270,578,17471208,11446.10
1779575443,1486,270,578,17530782,11737.80
1779575448,1491,270,578,17592587,12360.98
1779575453,1496,270,578,17656084,12243.23
1779575458,1501,270,578,17715760,12132.42
1779575463,1506,270,578,17775577,12132.93
1779575468,1511,270,578,17844191,13713.42
1779575473,1516,270,578,17907214,12650.15
1779575478,1521,270,578,17951215,4780.95
1779575483,1526,270,578,18010057,10065.53
1779575489,1532,270,578,18067353,10974.61
1779575494,1537,270,578,18125555,11314.06
1779575499,1542,270,578,18184825,11569.96
1779575504,1547,270,578,18237477,10510.51
1779575509,1552,270,578,18294555,10830.66
1779575514,1557,270,578,18356486,11868.90
1779575519,1562,270,578,18415055,11749.57
1779575524,1567,270,578,18469971,11382.01
1779575529,1572,270,578,18525086,11451.01
1779575534,1577,270,578,18586167,11810.12
1779575539,1582,270,578,18642482,11503.62
1779575544,1587,270,578,18700568,11525.37
1779575550,1593,270,578,18755245,11090.70
1779575555,1598,270,578,18810743,10979.49
1779575560,1603,270,578,18865511,10628.93
1779575565,1608,270,578,18923365,11137.45
1779575570,1613,270,578,18984884,12143.64
1779575575,1618,270,578,19044638,11737.16
1779575580,1623,270,578,19103258,10664.33
1779575585,1628,270,578,19161064,11379.37
1779575590,1633,270,578,19220558,11612.36
1779575595,1638,270,578,19276554,11087.97
1779575600,1643,270,578,19328709,10454.13
1779575605,1648,270,578,19386558,11028.61
1779575611,1654,270,578,19443708,11450.86
1779575616,1659,270,578,19500055,11714.37
1779575621,1664,270,578,19555815,11359.60
1779575626,1669,270,578,19616412,11874.03
1779575631,1674,270,578,19678274,12059.58
1779575636,1679,270,578,19732866,10733.14
1779575641,1684,270,578,19788992,13430.23
1779575646,1689,270,578,19845496,11792.53
1779575651,1694,270,578,19900874,10837.59
1779575656,1699,270,579,19953368,10520.57
1779575662,1705,270,579,20000767,960.21
1779575667,1710,270,580,20016235,984.46
1779575672,1715,270,580,20021059,924.81
1779575677,1720,270,580,20024903,788.96
1779575682,1725,270,580,20027876,606.83
1779575687,1730,270,580,20031044,656.64
