# time_s n median_edges min_edges max_edges median_bcov min_bcov max_bcov median_paths min_paths max_paths
9180 4 269 269 269 23.210 23.210 23.210 0 0 0
9240 4 269 269 269 23.210 23.210 23.210 0 0 0
9300 4 269 269 269 23.210 23.210 23.210 0 0 0
9360 4 269 269 269 23.210 23.210 23.210 0 0 0
9420 4 269 269 269 23.210 23.210 23.210 0 0 0
9480 4 269 269 269 23.210 23.210 23.210 0 0 0
9540 4 269 269 269 23.210 23.210 23.210 0 0 0
9600 4 269 269 269 23.210 23.210 23.210 0 0 0
9660 4 269 269 269 23.210 23.210 23.210 0 0 0
9720 4 269 269 269 23.210 23.210 23.210 0 0 0
9780 4 269 269 269 23.210 23.210 23.210 0 0 0
9840 4 269 269 269 23.210 23.210 23.210 0 0 0
9900 4 269 269 269 23.210 23.210 23.210 0 0 0
9960 4 269 269 269 23.210 23.210 23.210 0 0 0
10020 4 269 269 269 23.210 23.210 23.210 0 0 0
10080 4 269 269 269 23.210 23.210 23.210 0 0 0
10140 4 269 269 269 23.210 23.210 23.210 0 0 0
10200 4 269 269 269 23.210 23.210 23.210 0 0 0
10260 4 269 269 269 23.210 23.210 23.210 0 0 0
10320 4 269 269 269 23.210 23.210 23.210 0 0 0
10380 4 269 269 269 23.210 23.210 23.210 0 0 0
10440 4 269 269 269 23.210 23.210 23.210 0 0 0
10500 4 269 269 269 23.210 23.210 23.210 0 0 0
10560 4 269 269 269 23.210 23.210 23.210 0 0 0
10620 4 269 269 269 23.210 23.210 23.210 0 0 0
10680 4 269 269 269 23.210 23.210 23.210 0 0 0
10740 4 269 269 269 23.210 23.210 23.210 0 0 0
10800 4 269 269 269 23.210 23.210 23.210 0 0 0
10860 4 269 269 269 23.210 23.210 23.210 0 0 0
10920 4 269 269 269 23.210 23.210 23.210 0 0 0
10980 4 269 269 269 23.210 23.210 23.210 0 0 0
11040 4 269 269 269 23.210 23.210 23.210 0 0 0
11100 4 269 269 269 23.210 23.210 23.210 0 0 0
11160 4 269 269 269 23.210 23.210 23.210 0 0 0
11220 4 269 269 269 23.210 23.210 23.210 0 0 0
11280 4 269 269 269 23.210 23.210 23.210 0 0 0
11340 4 269 269 269 23.210 23.210 23.210 0 0 0
11400 4 269 269 269 23.210 23.210 23.210 0 0 0
11460 4 269 269 269 23.210 23.210 23.210 0 0 0
11520 4 269 269 269 23.210 23.210 23.210 0 0 0
11580 4 269 269 269 23.210 23.210 23.210 0 0 0
11640 4 269 269 269 23.210 23.210 23.210 0 0 0
11700 4 269 269 269 23.210 23.210 23.210 0 0 0
11760 4 269 269 269 23.210 23.210 23.210 0 0 0
11820 4 269 269 269 23.210 23.210 23.210 0 0 0
11880 4 269 269 269 23.210 23.210 23.210 0 0 0
11940 4 269 269 269 23.210 23.210 23.210 0 0 0
12000 4 269 269 269 23.210 23.210 23.210 0 0 0
12060 4 269 269 269 23.210 23.210 23.210 0 0 0
12120 4 269 269 269 23.210 23.210 23.210 0 0 0
12180 4 269 269 269 23.210 23.210 23.210 0 0 0
12240 4 269 269 269 23.210 23.210 23.210 0 0 0
12300 4 269 269 269 23.210 23.210 23.210 0 0 0
12360 4 269 269 269 23.210 23.210 23.210 0 0 0
12420 4 269 269 269 23.210 23.210 23.210 0 0 0
12480 4 269 269 269 23.210 23.210 23.210 0 0 0
12540 4 269 269 269 23.210 23.210 23.210 0 0 0
12600 4 269 269 269 23.210 23.210 23.210 0 0 0
12660 4 269 269 269 23.210 23.210 23.210 0 0 0
12720 4 269 269 269 23.210 23.210 23.210 0 0 0
12780 4 269 269 269 23.210 23.210 23.210 0 0 0
12840 4 269 269 269 23.210 23.210 23.210 0 0 0
12900 4 269 269 269 23.210 23.210 23.210 0 0 0
12960 4 269 269 269 23.210 23.210 23.210 0 0 0
13020 4 269 269 269 23.210 23.210 23.210 0 0 0
13080 4 269 269 269 23.210 23.210 23.210 0 0 0
13140 4 269 269 269 23.210 23.210 23.210 0 0 0
13200 4 269 269 269 23.210 23.210 23.210 0 0 0
13260 4 269 269 269 23.210 23.210 23.210 0 0 0
13320 4 269 269 269 23.210 23.210 23.210 0 0 0
13380 4 269 269 269 23.210 23.210 23.210 0 0 0
13440 4 269 269 269 23.210 23.210 23.210 0 0 0
13500 4 269 269 269 23.210 23.210 23.210 0 0 0
13560 4 269 269 269 23.210 23.210 23.210 0 0 0
