ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779564883,5326,269,617,58358343,12310.67
1779564888,5331,269,617,58423839,12710.13
1779564893,5336,269,617,58488734,12603.90
1779564898,5341,269,617,58546098,11586.45
1779564903,5346,269,617,58603480,11290.13
1779564909,5352,269,617,58664957,12366.57
1779564914,5357,269,617,58725522,12035.31
1779564919,5362,269,617,58785899,11600.96
1779564924,5367,269,617,58852571,12736.44
1779564929,5372,269,617,58911578,11632.06
1779564934,5377,269,617,58969222,11720.53
1779564939,5382,269,617,59040896,13846.72
1779564944,5387,269,617,59121162,15307.37
1779564949,5392,269,617,59203382,16072.20
1779564955,5398,269,617,59283892,15929.68
1779564960,5403,269,617,59356866,13793.74
1779564965,5408,269,617,59416785,12226.91
1779564970,5413,269,617,59475287,11617.64
1779564975,5418,269,617,59533300,11464.26
1779564980,5423,269,617,59593716,11705.14
1779564985,5428,269,617,59649649,11148.45
1779564990,5433,269,617,59707261,10706.35
1779564995,5438,269,617,59767481,11686.88
1779565000,5443,269,617,59826970,11873.94
1779565005,5448,269,617,59896288,13211.66
1779565011,5454,269,617,59962105,12914.30
1779565016,5459,269,617,60022079,11864.37
1779565021,5464,269,617,60084235,12143.31
1779565026,5469,269,617,60148979,12383.40
1779565031,5474,269,617,60204319,11227.97
1779565036,5479,269,617,60266758,12033.13
1779565041,5484,269,617,60330172,12500.36
1779565046,5489,269,617,60389539,11635.81
1779565051,5494,269,617,60448416,11328.60
1779565056,5499,269,617,60506504,11149.06
1779565062,5505,269,617,60572325,12693.51
1779565067,5510,269,617,60636196,12170.30
1779565072,5515,269,617,60705437,12906.56
1779565077,5520,269,617,60763393,11917.78
1779565082,5525,269,617,60815694,10530.01
1779565087,5530,269,617,60874527,11521.23
1779565092,5535,269,617,60934176,11714.35
1779565097,5540,269,617,60998137,12407.35
1779565102,5545,269,617,61060085,12012.22
1779565107,5550,269,617,61114338,11474.66
1779565112,5555,269,617,61175978,11900.60
1779565117,5560,269,617,61233899,11492.59
1779565123,5566,269,617,61292943,11776.34
