target,implementation_mode,paper_mode,repeat,run_id,sample_index,ts,execs_done,execs_per_sec,paths_total,bitmap_cvg,unique_crashes,unique_hangs,recipe_hits,recipe_misses
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,81,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,82,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,83,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,84,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,85,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,86,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,87,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,88,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,89,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,90,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,91,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,92,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
cjson_parser,baseline-afl,AFL++ default,01,p1_e1_cjson_baseline-afl_r01,93,1779372492,9124550,151946.680000,0,21.840000,0,0,0,0
